Symbol,Name,LastPrice,MarketCap,ADR TSO,IPOyear,Sector,Industry
AXAS,Abraxas Petroleum Corporation,2.58,429756165.1,n/a,n/a,Energy,Oil & Gas Production
ACIU,AC Immune SA,9.83,564247554,n/a,2016,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",33.53,1346214110,n/a,2016,Technology,Semiconductors
ACTG,Acacia Research Corporation,4.05,205123922.1,n/a,n/a,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",39.13,3452636293,n/a,n/a,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,17.5,2184454458,n/a,2004,Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",0.6934,27042922.43,n/a,n/a,Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",20.6,1112040509,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,35.85,1641045401,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Access National Corporation,29.3,606553100.3,n/a,n/a,Finance,Savings Institutions
ARAY,Accuray Incorporated,4.35,372525804.6,n/a,2007,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",3.7,189886212.6,n/a,2011,Health Care,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,19,142451227,n/a,n/a,Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,3.55,109297556.2,n/a,n/a,Health Care,Other Pharmaceuticals
AKAO,"Achaogen, Inc.",12.1,542035121.1,n/a,2014,Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc. ",8.18,1055866.22,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACHN,"Achillion Pharmaceuticals, Inc.",3.02,417786008.8,n/a,2006,Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",24.99,2909471146,n/a,n/a,Technology,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",18.35,567125155.1,n/a,2015,Health Care,Major Pharmaceuticals
ACMR,"ACM Research, Inc.",12.22,193566596.3,n/a,2017,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation,32.2,226512188,n/a,n/a,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",27.9,1313154680,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATVI,"Activision Blizzard, Inc",73.95,56291098066,n/a,n/a,Technology,Computer Software: Prepackaged Software
ACXM,Acxiom Corporation,29.86,2301019991,n/a,n/a,Technology,EDP Services
ADMS,"Adamas Pharmaceuticals, Inc.",27.68,746870673,n/a,2014,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,4.05,135227110.5,n/a,n/a,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc,12.61,818320855.6,64894596,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Addus HomeCare Corporation,56.8,664125707.2,n/a,2009,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",1.33,13707172.85,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services
IOTS,Adesto Technologies Corporation,9.3,199529881.8,n/a,2015,Technology,Semiconductors
ADMA,ADMA Biologics Inc,4.78,175550681.5,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Systems Incorporated,247.51,1.21891E+11,n/a,1986,Technology,Computer Software: Prepackaged Software
ADOM,"ADOMANI, Inc.",1.21,86802492.37,n/a,2017,Capital Goods,Auto Parts:O.E.M.
ADTN,"ADTRAN, Inc.",14.8,709130781.6,n/a,1994,Public Utilities,Telecommunications Equipment
ADRO,"Aduro Biotech, Inc.",6.55,515682495.6,n/a,2015,Health Care,Major Pharmaceuticals
ADES,"Advanced Emissions Solutions, Inc.",11.28,231512874.5,n/a,n/a,Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",65.87,2590629291,n/a,1995,Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",14.89,14433531981,n/a,n/a,Technology,Semiconductors
ADXS,"Advaxis, Inc.",1.9,99396313.1,n/a,n/a,Health Care,Major Pharmaceuticals
ADXSW,"Advaxis, Inc.",0.22,0,n/a,n/a,Health Care,Major Pharmaceuticals
ADVM,"Adverum Biotechnologies, Inc.",6.4,398540166.4,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACT,AdvisorShares Vice ETF,25.28,12640000,n/a,n/a,n/a,n/a
AEGN,Aegion Corp,26.11,845957838,n/a,n/a,Basic Industries,Water Supply
AGLE,"Aeglea BioTherapeutics, Inc.",10.28,224709224.7,n/a,2016,Health Care,Major Pharmaceuticals
AEHR,Aehr Test Systems,2.84,62348593.2,n/a,1997,Capital Goods,Electrical Products
AMTX,"Aemetis, Inc",1.49,30132106.1,n/a,n/a,Basic Industries,Major Chemicals
AERI,"Aerie Pharmaceuticals, Inc.",65.15,2573198278,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,"AeroVironment, Inc.",60.13,1437466938,n/a,2007,Capital Goods,Aerospace
AEZS,AEterna Zentaris Inc.,2.04,33539150.4,n/a,n/a,Health Care,Major Pharmaceuticals
AEMD,"Aethlon Medical, Inc.",1.2336,20601999.56,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
GNMX,"Aevi Genomic Medicine, Inc.",1.43,84852288.95,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AFMD,Affimed N.V.,2.15,134138646.2,n/a,2014,Health Care,Major Pharmaceuticals
AGEN,Agenus Inc.,3.1,322397151.1,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,"Agile Therapeutics, Inc.",0.5969,20442791.17,n/a,2014,Health Care,Major Pharmaceuticals
AGYS,"Agilysys, Inc.",14.11,327841687.6,n/a,n/a,Technology,EDP Services
AGIO,"Agios Pharmaceuticals, Inc.",93.43,5382093170,n/a,2013,Health Care,Major Pharmaceuticals
AGMH,AGM Group Holdings Inc.,9.95,212094747.3,n/a,2018,Technology,EDP Services
AGNC,AGNC Investment Corp.,18.9,8050493613,n/a,2008,Consumer Services,Real Estate Investment Trusts
AGNCB,AGNC Investment Corp.,26.09,9038882665,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp.,25.99,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AGFS,"AgroFresh Solutions, Inc.",7.33,369654582.8,n/a,2014,Finance,Business Services
AGFSW,"AgroFresh Solutions, Inc.",0.335,0,n/a,2014,Finance,Business Services
ALRN,"Aileron Therapeutics, Inc.",5.41,79729344.82,n/a,2017,Health Care,Major Pharmaceuticals
AIMT,"Aimmune Therapeutics, Inc.",30.46,1769586128,n/a,2015,Health Care,Major Pharmaceuticals
AIRT,"Air T, Inc.",33.2,67820594.8,n/a,n/a,Transportation,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",23.15,1367713853,n/a,n/a,Transportation,Air Freight/Delivery Services
AIRG,"Airgain, Inc.",8.45,81711178.9,n/a,2016,Technology,Radio And Television Broadcasting And Communications Equipment
AMCN,AirMedia Group Inc,0.73,32979756.77,45177749,2007,Technology,Advertising
AKAM,"Akamai Technologies, Inc.",78.28,13308433134,n/a,1999,Miscellaneous,Business Services
AKTX,Akari Therapeutics Plc,1.85,28135497.45,15208377,n/a,Health Care,Major Pharmaceuticals
AKCA,"Akcea Therapeutics, Inc.",22.06,1888187007,n/a,2017,Health Care,Major Pharmaceuticals
AKBA,"Akebia Therapeutics, Inc.",10.09,573951629.3,n/a,2014,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc,0.4637,38011327.11,n/a,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,"Akorn, Inc.",14.45,1809986987,n/a,n/a,Health Care,Major Pharmaceuticals
AKTS,"Akoustis Technologies, Inc.",6.73,149622706,n/a,n/a,Public Utilities,Telecommunications Equipment
ALRM,"Alarm.com Holdings, Inc.",45.22,2138650462,n/a,2015,Technology,Computer Software: Prepackaged Software
ALSK,"Alaska Communications Systems Group, Inc.",1.66,88163131.2,n/a,1999,Public Utilities,Telecommunications Equipment
ALBO,"Albireo Pharma, Inc.",31.07,371036044.7,n/a,n/a,Health Care,Major Pharmaceuticals
ABDC,Alcentra Capital Corp.,6.67,91290329.02,n/a,n/a,n/a,n/a
ALDR,"Alder BioPharmaceuticals, Inc.",17.8,1207730659,n/a,2014,Health Care,Major Pharmaceuticals
ALDX,"Aldeyra Therapeutics, Inc.",8.35,167913439.9,n/a,2014,Health Care,Major Pharmaceuticals
ALXN,"Alexion Pharmaceuticals, Inc.",118.61,26390803638,n/a,1996,Health Care,Major Pharmaceuticals
ALCO,"Alico, Inc.",30.4,250107609.6,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling
ALGN,"Align Technology, Inc.",339.32,27196376184,n/a,2001,Health Care,Industrial Specialties
ALIM,"Alimera Sciences, Inc.",0.84,58832265.24,n/a,2010,Health Care,Major Pharmaceuticals
ALJJ,"ALJ Regional Holdings, Inc.",1.5716,59596825.91,n/a,n/a,Miscellaneous,Business Services
ALKS,Alkermes plc,48.3,7488328155,n/a,1991,Health Care,Major Pharmaceuticals
ABTX,"Allegiance Bancshares, Inc.",43.5,579669516,n/a,2015,Finance,Major Banks
ALGT,Allegiant Travel Company,150,2422333350,n/a,2006,Transportation,Air Freight/Delivery Services
ALNA,"Allena Pharmaceuticals, Inc.",13.5,279390006,n/a,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMMA,"Alliance MMA, Inc.",0.3536,5255547.606,n/a,2016,Consumer Services,Services-Misc. Amusement & Recreation
ARLP,"Alliance Resource Partners, L.P.",20.1,2631155446,n/a,1999,Energy,Coal Mining
AHPI,"Allied Healthcare Products, Inc.",2.45,9833165.65,n/a,1992,Health Care,Industrial Specialties
AMOT,"Allied Motion Technologies, Inc.",48.44,459294807.4,n/a,n/a,Capital Goods,Electrical Products
ALQA,"Alliqua BioMedical, Inc.",2.08,10410838.88,n/a,n/a,Health Care,Medical/Dental Instruments
ALLT,Allot Communications Ltd.,5.48,184061220.7,n/a,2006,Technology,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",12.61,2243982374,n/a,n/a,Technology,EDP Services
ALNY,"Alnylam Pharmaceuticals, Inc.",99.91,10043194083,n/a,2004,Health Care,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,16.04,383035071.7,n/a,2010,Technology,Semiconductors
GOOG,Alphabet Inc.,1123.86,7.80576E+11,n/a,2004,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,1134.42,7.8791E+11,n/a,n/a,Technology,"Computer Software: Programming, Data Processing"
SMCP,AlphaMark Actively Managed Small Cap ETF,26.1964,28815385.09,n/a,n/a,n/a,n/a
ATEC,"Alphatec Holdings, Inc.",3.82,103848056.1,n/a,2006,Health Care,Medical/Dental Instruments
ALPN,"Alpine Immune Sciences, Inc.",9.07,125615527.3,n/a,2015,Health Care,Major Pharmaceuticals
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,31.87,11154563.74,n/a,n/a,n/a,n/a
AMR,"Alta Mesa Resources, Inc.",7,2871665923,n/a,2017,Finance,Business Services
AMRWW,"Alta Mesa Resources, Inc.",1.43,0,n/a,2017,Finance,Business Services
AABA,Altaba Inc.,79.75,64588872486,n/a,n/a,Technology,EDP Services
ALTR,Altair Engineering Inc.,35.66,2282358676,n/a,2017,Technology,Computer Software: Prepackaged Software
ALT,"Altimmune, Inc.",0.6801,17547989.17,n/a,n/a,Health Care,Major Pharmaceuticals
ASPS,Altisource Portfolio Solutions S.A.,31.87,548312068,n/a,n/a,Consumer Services,Other Consumer Services
AIMC,Altra Industrial Motion Corp.,44.75,1314905584,n/a,2006,Capital Goods,Industrial Machinery/Components
AMAG,"AMAG Pharmaceuticals, Inc.",24.45,839286250.2,n/a,n/a,Health Care,Major Pharmaceuticals
AMRN,Amarin Corporation plc,3.43,922887791.3,269063496,n/a,Health Care,Major Pharmaceuticals
AMRK,"A-Mark Precious Metals, Inc.",13.855,97420739.75,n/a,n/a,Basic Industries,Other Specialty Stores
AMZN,"Amazon.com, Inc.",1689.3,8.19694E+11,n/a,1997,Consumer Services,Catalog/Specialty Distribution
AMBC,"Ambac Financial Group, Inc.",19.85,899844447.9,n/a,n/a,Finance,Property-Casualty Insurers
AMBCW,"Ambac Financial Group, Inc.",9.17,0,n/a,n/a,Finance,Property-Casualty Insurers
AMBA,"Ambarella, Inc.",43.35,1451162101,n/a,2012,Technology,Semiconductors
AMCX,AMC Networks Inc.,59.64,3426906945,n/a,n/a,Consumer Services,Television Services
DOX,Amdocs Limited,68.68,9850291640,n/a,n/a,Technology,EDP Services
AMDA,Amedica Corporation,1.06,7657694.4,n/a,2014,Health Care,Medical/Dental Instruments
AMED,Amedisys Inc,78.47,2483216421,n/a,n/a,Health Care,Medical/Nursing Services
UHAL,Amerco,343.29,6731157543,n/a,n/a,Consumer Services,Rental/Leasing Companies
AMRH,"Ameri Holdings, Inc.",1.37,25743667.26,n/a,n/a,Technology,Semiconductors
AMRHW,"Ameri Holdings, Inc.",0.2301,0,n/a,n/a,Technology,Semiconductors
ATAX,"America First Multifamily Investors, L.P.",6.325,382364769.6,n/a,n/a,Finance,Finance: Consumer Services
AMOV,"America Movil, S.A.B. de C.V.",14.9377,49341622214,n/a,n/a,Public Utilities,Telecommunications Equipment
AAL,"American Airlines Group, Inc.",43.84,20523812132,n/a,n/a,Transportation,Air Freight/Delivery Services
ACSF,"American Capital Senior Floating, Ltd.",12.35,123501235,n/a,2014,n/a,n/a
AETI,"American Electric Technologies, Inc.",1.6,14005817.6,n/a,n/a,Energy,Industrial Machinery/Components
AMNB,"American National Bankshares, Inc.",41.7,362278674.6,n/a,n/a,Finance,Major Banks
ANAT,American National Insurance Company,121.82,3275185397,n/a,n/a,Finance,Life Insurance
AOBC,American Outdoor Brands Corporation,12.63,683661394.8,n/a,n/a,Capital Goods,Ordnance And Accessories
APEI,"American Public Education, Inc.",44.35,727304475.7,n/a,2007,Consumer Services,Other Consumer Services
ARII,"American Railcar Industries, Inc.",40.8,778622222.4,n/a,2006,Capital Goods,Railroads
AMRB,American River Bankshares,16.55,97394350.25,n/a,n/a,Finance,Major Banks
AMSWA,"American Software, Inc.",13.34,405623417,n/a,n/a,Technology,Computer Software: Prepackaged Software
AMSC,American Superconductor Corporation,6.48,135670263.1,n/a,1991,Consumer Durables,Metal Fabrications
AMWD,American Woodmark Corporation,100.3,1755583999,n/a,1986,Basic Industries,Forest Products
CRMT,"America&#39;s Car-Mart, Inc.",64.75,443483174.8,n/a,n/a,Consumer Durables,Automotive Aftermarket
ABCB,Ameris Bancorp,57.45,2353558803,n/a,1994,Finance,Major Banks
AMSF,"AMERISAFE, Inc.",60.55,1166248403,n/a,2005,Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,4.3,77543624.3,n/a,n/a,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,28.65,0,n/a,n/a,Finance,Major Banks
ATLO,Ames National Corporation,30.85,287241666.1,n/a,n/a,Finance,Major Banks
AMGN,Amgen Inc.,183.3,1.21291E+11,n/a,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,"Amicus Therapeutics, Inc.",16.23,3058890936,n/a,2007,Health Care,Major Pharmaceuticals
AMKR,"Amkor Technology, Inc.",9.28,2222661236,n/a,1998,Technology,Semiconductors
AMPH,"Amphastar Pharmaceuticals, Inc.",16.69,777988661.4,n/a,2014,Health Care,Major Pharmaceuticals
IBUY,Amplify Online Retail ETF,49.34,394720000,n/a,n/a,n/a,n/a
ASYS,"Amtech Systems, Inc.",8.54,127211874.2,n/a,n/a,Technology,Industrial Machinery/Components
AFSI,"AmTrust Financial Services, Inc.",14.56,2858936371,n/a,n/a,Finance,Property-Casualty Insurers
AMRS,"Amyris, Inc.",5.54,277979134.1,n/a,2010,Basic Industries,Major Chemicals
ADI,"Analog Devices, Inc.",101.96,37816687892,n/a,n/a,Technology,Semiconductors
ALOG,Analogic Corporation,83.85,1048262346,n/a,1972,Capital Goods,Electrical Products
ANAB,"AnaptysBio, Inc.",72.46,1702641893,n/a,2017,Health Care,Major Pharmaceuticals
AVXL,Anavex Life Sciences Corp.,3.75,167475232.5,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ANCB,Anchor Bancorp,25.93,64410897.9,n/a,2011,Finance,Banks
ANGI,ANGI Homeservices Inc.,15.91,7645528194,n/a,n/a,Consumer Services,Advertising
ANGO,"AngioDynamics, Inc.",21.25,782095752.5,n/a,2004,Health Care,Medical/Dental Instruments
ANIP,"ANI Pharmaceuticals, Inc.",65.39,771424139.2,n/a,n/a,Health Care,Major Pharmaceuticals
ANIK,Anika Therapeutics Inc.,42.23,604331317,n/a,n/a,Health Care,Medical/Dental Instruments
ANSS,"ANSYS, Inc.",170.87,14355962919,n/a,1996,Technology,Computer Software: Prepackaged Software
ATRS,"Antares Pharma, Inc.",2.7,423429003.9,n/a,n/a,Health Care,Medical/Dental Instruments
ANTH,"Anthera Pharmaceuticals, Inc.",0.23,6021239.46,n/a,2010,Health Care,Major Pharmaceuticals
APLS,"Apellis Pharmaceuticals, Inc.",20.37,1139536422,n/a,2017,Health Care,Major Pharmaceuticals
APOG,"Apogee Enterprises, Inc.",44.6,1258596345,n/a,n/a,Capital Goods,Auto Parts:O.E.M.
APEN,"Apollo Endosurgery, Inc.",6.37,111535190.1,n/a,n/a,Health Care,Medical/Dental Instruments
AINV,Apollo Investment Corporation,5.79,1252447036,n/a,2004,n/a,n/a
AMEH,"Apollo Medical Holdings, Inc.",14.27,475677021.9,n/a,n/a,Consumer Services,Professional Services
APPF,"AppFolio, Inc.",59.75,2041696696,n/a,2015,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation,33.56,2055853752,n/a,2017,Technology,Computer Software: Prepackaged Software
AAPL,Apple Inc.,193.46,9.50883E+11,n/a,1980,Technology,Computer Manufacturing
ARCI,"Appliance Recycling Centers of America, Inc.",0.785,5397161.525,n/a,n/a,Consumer Services,Home Furnishings
APDN,Applied DNA Sciences Inc,1.4801,44568855.57,n/a,n/a,Consumer Services,Other Consumer Services
APDNW,Applied DNA Sciences Inc,0.2,0,n/a,n/a,Consumer Services,Other Consumer Services
AGTC,Applied Genetic Technologies Corporation,4.9,88741626.4,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMAT,"Applied Materials, Inc.",51.25,51662447803,n/a,1972,Technology,Semiconductors
AAOI,"Applied Optoelectronics, Inc.",44.98,880664004.7,n/a,2013,Technology,Semiconductors
AREX,Approach Resources Inc.,2.68,253601062.2,n/a,2007,Energy,Oil & Gas Production
APTI,"Apptio, Inc.",34.01,1485384233,n/a,2016,Technology,Computer Software: Prepackaged Software
APRI,"Apricus Biosciences, Inc.",0.2601,6097024.908,n/a,n/a,Health Care,Major Pharmaceuticals
APVO,Aptevo Therapeutics Inc.,5.09,114963411.9,n/a,n/a,Health Care,Major Pharmaceuticals
APTO,"Aptose Biosciences, Inc.",3.77,117129858.6,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AQMS,"Aqua Metals, Inc.",3.02,86656514.2,n/a,2015,Basic Industries,Metal Fabrications
AQB,"AquaBounty Technologies, Inc.",3,38480460,n/a,n/a,n/a,n/a
AQXP,"Aquinox Pharmaceuticals, Inc.",14.46,339928600.9,n/a,2014,Health Care,Major Pharmaceuticals
ARDM,Aradigm Corporation,1.53,23273552.16,n/a,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ARLZ,Aralez Pharmaceuticals Inc.,0.4,26789096.8,n/a,n/a,Health Care,Major Pharmaceuticals
PETX,"Aratana Therapeutics, Inc.",5.06,237035229.4,n/a,2013,Health Care,Major Pharmaceuticals
ABUS,Arbutus Biopharma Corporation,5.9,325491182.3,n/a,n/a,Health Care,Major Pharmaceuticals
ARCW,"ARC Group Worldwide, Inc.",2.35,54769243.35,n/a,n/a,Capital Goods,Metal Fabrications
ABIO,"ARCA biopharma, Inc.",0.5376,7485448.32,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
RKDA,"Arcadia Biosciences, Inc.",10.3,34834795.7,n/a,2015,Basic Industries,Agricultural Chemicals
ARCB,ArcBest Corporation,48.4,1241049132,n/a,n/a,Transportation,Trucking Freight/Courier Services
ACGL,Arch Capital Group Ltd.,81.64,11084724148,n/a,n/a,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd.,24.89,0,n/a,n/a,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd.,24.4,0,n/a,n/a,Finance,Property-Casualty Insurers
FUV,"Arcimoto, Inc.",3,47757645,n/a,2017,Consumer Non-Durables,Motor Vehicles
ARCT,Arcturus Therapeutics Ltd.,7.25,74852153.75,n/a,2013,n/a,n/a
ARDX,"Ardelyx, Inc.",3.8,228393558.4,n/a,2014,Health Care,Major Pharmaceuticals
ARNA,"Arena Pharmaceuticals, Inc.",47.76,2351420329,n/a,2000,Health Care,Major Pharmaceuticals
ARCC,Ares Capital Corporation,17.07,7276910274,n/a,2004,n/a,n/a
ARGX,argenx SE,98.18,1704703464,17363042,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARKR,Ark Restaurants Corp.,26.19,90307860.39,n/a,n/a,Consumer Services,Restaurants
ARMO,"ARMO BioSciences, Inc.",49.99,1519951399,n/a,2018,Health Care,Major Pharmaceuticals
ARTX,Arotech Corporation,3.7,98045789.4,n/a,1994,Miscellaneous,Industrial Machinery/Components
ARQL,"ArQule, Inc.",5.78,503584390.1,n/a,1996,Health Care,Major Pharmaceuticals
ARRY,Array BioPharma Inc.,17.77,3743021160,n/a,2000,Health Care,Major Pharmaceuticals
ARRS,ARRIS International plc,26.35,4908032079,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
DWCR,Arrow DWA Country Rotation ETF,29.67,14835000,n/a,n/a,n/a,n/a
DWAT,Arrow DWA Tactical ETF,11.9101,7146060,n/a,n/a,n/a,n/a
AROW,Arrow Financial Corporation,37.85,528740692.4,n/a,n/a,Finance,Major Banks
ARWR,"Arrowhead Pharmaceuticals, Inc.",10.37,908175439.6,n/a,n/a,Health Care,Major Pharmaceuticals
ASNS,"Arsanis, Inc.",17.7,253011251.7,n/a,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARTNA,Artesian Resources Corporation,38.79,358045431.7,n/a,n/a,Public Utilities,Water Supply
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",2.75,11551281.5,n/a,n/a,Capital Goods,Industrial Machinery/Components
ASNA,"Ascena Retail Group, Inc.",3.96,776930457.6,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
ASND,Ascendis Pharma A/S,67.5,2544074393,37689991,2015,Health Care,Major Pharmaceuticals
ASCMA,"Ascent Capital Group, Inc.",2.29,28392970.33,n/a,n/a,Consumer Services,Other Consumer Services
APWC,Asia Pacific Wire & Cable Corporation Limited,2.55,35240155.95,n/a,n/a,Basic Industries,Telecommunications Equipment
ASLN,ASLAN Pharmaceuticals Limited,10.24,76800000,7500000,2018,Health Care,Major Pharmaceuticals
ASML,ASML Holding N.V.,207.56,15340658518,73909513,1995,Technology,Industrial Machinery/Components
ASPU,Aspen Group Inc.,7.3,133971571,n/a,n/a,Consumer Services,Other Consumer Services
AZPN,"Aspen Technology, Inc.",95.48,6819529052,n/a,1994,Technology,EDP Services
ASMB,"Assembly Biosciences, Inc.",42.17,866623778.1,n/a,n/a,Health Care,Major Pharmaceuticals
ASFI,"Asta Funding, Inc.",4.05,26826450.75,n/a,1995,Finance,Finance Companies
ASTE,"Astec Industries, Inc.",60.2,1389866958,n/a,1986,Capital Goods,Construction/Ag Equipment/Trucks
ATRO,Astronics Corporation,35.56,998941883.2,n/a,n/a,Capital Goods,Military/Government/Technical
ALOT,"AstroNova, Inc.",18.3856,125166259.9,n/a,1983,Technology,Computer peripheral equipment
ASTC,Astrotech Corporation,1.71,7033346.28,n/a,n/a,Capital Goods,Military/Government/Technical
ASUR,Asure Software Inc,17.95,225919310.3,n/a,n/a,Technology,EDP Services
ASV,"ASV Holdings, Inc.",6.07,59620857.19,n/a,2017,Capital Goods,Construction/Ag Equipment/Trucks
ATAI,ATA Inc.,5.2773,55739966.66,10562213,2008,Consumer Services,Other Consumer Services
ATRA,"Atara Biotherapeutics, Inc.",42.3,1859063258,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATHN,"athenahealth, Inc.",158.54,6406557167,n/a,2007,Miscellaneous,Business Services
ATNX,"Athenex, Inc.",16.37,1039795046,n/a,2017,Health Care,Major Pharmaceuticals
ATHX,"Athersys, Inc.",2.73,376626827.9,n/a,n/a,Health Care,Major Pharmaceuticals
ATAC,Atlantic Acquisition Corp.,10.05,20064322.5,n/a,2017,Consumer Non-Durables,Food Distributors
ATACR,Atlantic Acquisition Corp.,0.5401,0,n/a,2017,Consumer Non-Durables,Food Distributors
ATACU,Atlantic Acquisition Corp.,10.7,0,n/a,2017,Consumer Non-Durables,Food Distributors
