Symbol,Name,LastPrice,MarketCap,IPOyear,Sector,Industry
ADXSW,"Advaxis, Inc.",6.4,0,n/a,Health Care,Major Pharmaceuticals
ADVM,"Adverum Biotechnologies, Inc.",25.28,398540166.4,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACT,AdvisorShares Vice ETF,26.11,12640000,n/a,n/a,n/a
AEGN,Aegion Corp,10.28,845957838,n/a,Basic Industries,Water Supply
AGLE,"Aeglea BioTherapeutics, Inc.",2.84,224709224.7,2016,Health Care,Major Pharmaceuticals
AEHR,Aehr Test Systems,1.49,62348593.2,1997,Capital Goods,Electrical Products
AMTX,"Aemetis, Inc",65.15,30132106.1,n/a,Basic Industries,Major Chemicals
AERI,"Aerie Pharmaceuticals, Inc.",60.13,2573198278,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,"AeroVironment, Inc.",2.04,1437466938,2007,Capital Goods,Aerospace
AEZS,AEterna Zentaris Inc.,1.2336,33539150.4,n/a,Health Care,Major Pharmaceuticals
AEMD,"Aethlon Medical, Inc.",1.43,20601999.56,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
GNMX,"Aevi Genomic Medicine, Inc.",2.15,84852288.95,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AFMD,Affimed N.V.,3.1,134138646.2,2014,Health Care,Major Pharmaceuticals
AGEN,Agenus Inc.,0.5969,322397151.1,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,"Agile Therapeutics, Inc.",14.11,20442791.17,2014,Health Care,Major Pharmaceuticals
AGYS,"Agilysys, Inc.",93.43,327841687.6,n/a,Technology,EDP Services
AGIO,"Agios Pharmaceuticals, Inc.",9.95,5382093170,2013,Health Care,Major Pharmaceuticals
AGMH,AGM Group Holdings Inc.,18.9,212094747.3,2018,Technology,EDP Services
AGNC,AGNC Investment Corp.,26.09,8050493613,2008,Consumer Services,Real Estate Investment Trusts
AGNCB,AGNC Investment Corp.,25.99,9038882665,n/a,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp.,7.33,0,n/a,Consumer Services,Real Estate Investment Trusts
AGFS,"AgroFresh Solutions, Inc.",0.335,369654582.8,2014,Finance,Business Services
AGFSW,"AgroFresh Solutions, Inc.",5.41,0,2014,Finance,Business Services
ALRN,"Aileron Therapeutics, Inc.",30.46,79729344.82,2017,Health Care,Major Pharmaceuticals
AIMT,"Aimmune Therapeutics, Inc.",33.2,1769586128,2015,Health Care,Major Pharmaceuticals
AIRT,"Air T, Inc.",23.15,67820594.8,n/a,Transportation,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",8.45,1367713853,n/a,Transportation,Air Freight/Delivery Services
AIRG,"Airgain, Inc.",0.73,81711178.9,2016,Technology,Radio And Television Broadcasting And Communications Equipment
AMCN,AirMedia Group Inc,78.28,32979756.77,2007,Technology,Advertising
AKAM,"Akamai Technologies, Inc.",1.85,13308433134,1999,Miscellaneous,Business Services
AKTX,Akari Therapeutics Plc,22.06,28135497.45,n/a,Health Care,Major Pharmaceuticals
AKCA,"Akcea Therapeutics, Inc.",10.09,1888187007,2017,Health Care,Major Pharmaceuticals
AKBA,"Akebia Therapeutics, Inc.",0.4637,573951629.3,2014,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc,14.45,38011327.11,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,"Akorn, Inc.",6.73,1809986987,n/a,Health Care,Major Pharmaceuticals
AKTS,"Akoustis Technologies, Inc.",45.22,149622706,n/a,Public Utilities,Telecommunications Equipment
ALRM,"Alarm.com Holdings, Inc.",1.66,2138650462,2015,Technology,Computer Software: Prepackaged Software
ALSK,"Alaska Communications Systems Group, Inc.",31.07,88163131.2,1999,Public Utilities,Telecommunications Equipment
ALBO,"Albireo Pharma, Inc.",6.67,371036044.7,n/a,Health Care,Major Pharmaceuticals
ABDC,Alcentra Capital Corp.,17.8,91290329.02,n/a,n/a,n/a
ALDR,"Alder BioPharmaceuticals, Inc.",8.35,1207730659,2014,Health Care,Major Pharmaceuticals
ALDX,"Aldeyra Therapeutics, Inc.",118.61,167913439.9,2014,Health Care,Major Pharmaceuticals
ALXN,"Alexion Pharmaceuticals, Inc.",30.4,26390803638,1996,Health Care,Major Pharmaceuticals
ALCO,"Alico, Inc.",339.32,250107609.6,n/a,Consumer Non-Durables,Farming/Seeds/Milling
ALGN,"Align Technology, Inc.",0.84,27196376184,2001,Health Care,Industrial Specialties
ALIM,"Alimera Sciences, Inc.",1.5716,58832265.24,2010,Health Care,Major Pharmaceuticals
ALJJ,"ALJ Regional Holdings, Inc.",48.3,59596825.91,n/a,Miscellaneous,Business Services
ALKS,Alkermes plc,43.5,7488328155,1991,Health Care,Major Pharmaceuticals
ABTX,"Allegiance Bancshares, Inc.",150,579669516,2015,Finance,Major Banks
ALGT,Allegiant Travel Company,13.5,2422333350,2006,Transportation,Air Freight/Delivery Services
ALNA,"Allena Pharmaceuticals, Inc.",0.3536,279390006,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMMA,"Alliance MMA, Inc.",20.1,5255547.606,2016,Consumer Services,Services-Misc. Amusement & Recreation
ARLP,"Alliance Resource Partners, L.P.",2.45,2631155446,1999,Energy,Coal Mining
AHPI,"Allied Healthcare Products, Inc.",48.44,9833165.65,1992,Health Care,Industrial Specialties
AMOT,"Allied Motion Technologies, Inc.",2.08,459294807.4,n/a,Capital Goods,Electrical Products
ALQA,"Alliqua BioMedical, Inc.",5.48,10410838.88,n/a,Health Care,Medical/Dental Instruments
ALLT,Allot Communications Ltd.,12.61,184061220.7,2006,Technology,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",99.91,2243982374,n/a,Technology,EDP Services
ALNY,"Alnylam Pharmaceuticals, Inc.",16.04,10043194083,2004,Health Care,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,1123.86,383035071.7,2010,Technology,Semiconductors
GOOG,Alphabet Inc.,1134.42,7.81E+11,2004,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,26.1964,7.88E+11,n/a,Technology,"Computer Software: Programming, Data Processing"
SMCP,AlphaMark Actively Managed Small Cap ETF,3.82,28815385.09,n/a,n/a,n/a
ATEC,"Alphatec Holdings, Inc.",9.07,103848056.1,2006,Health Care,Medical/Dental Instruments
ALPN,"Alpine Immune Sciences, Inc.",31.87,125615527.3,2015,Health Care,Major Pharmaceuticals
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,7,11154563.74,n/a,n/a,n/a
AMR,"Alta Mesa Resources, Inc.",1.43,2871665923,2017,Finance,Business Services
AMRWW,"Alta Mesa Resources, Inc.",79.75,0,2017,Finance,Business Services
AABA,Altaba Inc.,35.66,64588872486,n/a,Technology,EDP Services
ALTR,Altair Engineering Inc.,0.6801,2282358676,2017,Technology,Computer Software: Prepackaged Software
ALT,"Altimmune, Inc.",31.87,17547989.17,n/a,Health Care,Major Pharmaceuticals
ASPS,Altisource Portfolio Solutions S.A.,44.75,548312068,n/a,Consumer Services,Other Consumer Services
AIMC,Altra Industrial Motion Corp.,24.45,1314905584,2006,Capital Goods,Industrial Machinery/Components
AMAG,"AMAG Pharmaceuticals, Inc.",3.43,839286250.2,n/a,Health Care,Major Pharmaceuticals
AMRN,Amarin Corporation plc,13.855,922887791.3,n/a,Health Care,Major Pharmaceuticals
AMRK,"A-Mark Precious Metals, Inc.",1689.3,97420739.75,n/a,Basic Industries,Other Specialty Stores
AMZN,"Amazon.com, Inc.",19.85,8.20E+11,1997,Consumer Services,Catalog/Specialty Distribution
AMBC,"Ambac Financial Group, Inc.",9.17,899844447.9,n/a,Finance,Property-Casualty Insurers
AMBCW,"Ambac Financial Group, Inc.",43.35,0,n/a,Finance,Property-Casualty Insurers
AMBA,"Ambarella, Inc.",59.64,1451162101,2012,Technology,Semiconductors
AMCX,AMC Networks Inc.,68.68,3426906945,n/a,Consumer Services,Television Services
DOX,Amdocs Limited,1.06,9850291640,n/a,Technology,EDP Services
AMDA,Amedica Corporation,78.47,7657694.4,2014,Health Care,Medical/Dental Instruments
AMED,Amedisys Inc,343.29,2483216421,n/a,Health Care,Medical/Nursing Services
UHAL,Amerco,1.37,6731157543,n/a,Consumer Services,Rental/Leasing Companies
AMRH,"Ameri Holdings, Inc.",0.2301,25743667.26,n/a,Technology,Semiconductors
AMRHW,"Ameri Holdings, Inc.",6.325,0,n/a,Technology,Semiconductors
ATAX,"America First Multifamily Investors, L.P.",14.9377,382364769.6,n/a,Finance,Finance: Consumer Services
AMOV,"America Movil, S.A.B. de C.V.",43.84,49341622214,n/a,Public Utilities,Telecommunications Equipment
AAL,"American Airlines Group, Inc.",12.35,20523812132,n/a,Transportation,Air Freight/Delivery Services
ACSF,"American Capital Senior Floating, Ltd.",1.6,123501235,2014,n/a,n/a
AETI,"American Electric Technologies, Inc.",41.7,14005817.6,n/a,Energy,Industrial Machinery/Components
AMNB,"American National Bankshares, Inc.",121.82,362278674.6,n/a,Finance,Major Banks
ANAT,American National Insurance Company,12.63,3275185397,n/a,Finance,Life Insurance
AOBC,American Outdoor Brands Corporation,44.35,683661394.8,n/a,Capital Goods,Ordnance And Accessories
APEI,"American Public Education, Inc.",40.8,727304475.7,2007,Consumer Services,Other Consumer Services
ARII,"American Railcar Industries, Inc.",16.55,778622222.4,2006,Capital Goods,Railroads
AMRB,American River Bankshares,13.34,97394350.25,n/a,Finance,Major Banks
AMSWA,"American Software, Inc.",6.48,405623417,n/a,Technology,Computer Software: Prepackaged Software
AMSC,American Superconductor Corporation,100.3,135670263.1,1991,Consumer Durables,Metal Fabrications
AMWD,American Woodmark Corporation,64.75,1755583999,1986,Basic Industries,Forest Products
CRMT,"America&#39;s Car-Mart, Inc.",57.45,443483174.8,n/a,Consumer Durables,Automotive Aftermarket
ABCB,Ameris Bancorp,60.55,2353558803,1994,Finance,Major Banks
AMSF,"AMERISAFE, Inc.",4.3,1166248403,2005,Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,28.65,77543624.3,n/a,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,30.85,0,n/a,Finance,Major Banks
ATLO,Ames National Corporation,183.3,287241666.1,n/a,Finance,Major Banks
AMGN,Amgen Inc.,16.23,1.21E+11,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,"Amicus Therapeutics, Inc.",9.28,3058890936,2007,Health Care,Major Pharmaceuticals
AMKR,"Amkor Technology, Inc.",16.69,2222661236,1998,Technology,Semiconductors
AMPH,"Amphastar Pharmaceuticals, Inc.",49.34,777988661.4,2014,Health Care,Major Pharmaceuticals
IBUY,Amplify Online Retail ETF,8.54,394720000,n/a,n/a,n/a
ASYS,"Amtech Systems, Inc.",14.56,127211874.2,n/a,Technology,Industrial Machinery/Components
AFSI,"AmTrust Financial Services, Inc.",5.54,2858936371,n/a,Finance,Property-Casualty Insurers
AMRS,"Amyris, Inc.",101.96,277979134.1,2010,Basic Industries,Major Chemicals
ADI,"Analog Devices, Inc.",83.85,37816687892,n/a,Technology,Semiconductors
ALOG,Analogic Corporation,72.46,1048262346,1972,Capital Goods,Electrical Products
ANAB,"AnaptysBio, Inc.",3.75,1702641893,2017,Health Care,Major Pharmaceuticals
AVXL,Anavex Life Sciences Corp.,25.93,167475232.5,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ANCB,Anchor Bancorp,15.91,64410897.9,2011,Finance,Banks
ANGI,ANGI Homeservices Inc.,21.25,7645528194,n/a,Consumer Services,Advertising
ANGO,"AngioDynamics, Inc.",65.39,782095752.5,2004,Health Care,Medical/Dental Instruments
ANIP,"ANI Pharmaceuticals, Inc.",42.23,771424139.2,n/a,Health Care,Major Pharmaceuticals
ANIK,Anika Therapeutics Inc.,170.87,604331317,n/a,Health Care,Medical/Dental Instruments
ANSS,"ANSYS, Inc.",2.7,14355962919,1996,Technology,Computer Software: Prepackaged Software
ATRS,"Antares Pharma, Inc.",0.23,423429003.9,n/a,Health Care,Medical/Dental Instruments
ANTH,"Anthera Pharmaceuticals, Inc.",20.37,6021239.46,2010,Health Care,Major Pharmaceuticals
APLS,"Apellis Pharmaceuticals, Inc.",44.6,1139536422,2017,Health Care,Major Pharmaceuticals
APOG,"Apogee Enterprises, Inc.",6.37,1258596345,n/a,Capital Goods,Auto Parts:O.E.M.
APEN,"Apollo Endosurgery, Inc.",5.79,111535190.1,n/a,Health Care,Medical/Dental Instruments
AINV,Apollo Investment Corporation,14.27,1252447036,2004,n/a,n/a
AMEH,"Apollo Medical Holdings, Inc.",59.75,475677021.9,n/a,Consumer Services,Professional Services
APPF,"AppFolio, Inc.",33.56,2041696696,2015,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation,193.46,2055853752,2017,Technology,Computer Software: Prepackaged Software
AAPL,Apple Inc.,0.785,9.51E+11,1980,Technology,Computer Manufacturing
ARCI,"Appliance Recycling Centers of America, Inc.",1.4801,5397161.525,n/a,Consumer Services,Home Furnishings
APDN,Applied DNA Sciences Inc,0.2,44568855.57,n/a,Consumer Services,Other Consumer Services
APDNW,Applied DNA Sciences Inc,4.9,0,n/a,Consumer Services,Other Consumer Services
AGTC,Applied Genetic Technologies Corporation,51.25,88741626.4,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMAT,"Applied Materials, Inc.",44.98,51662447803,1972,Technology,Semiconductors
AAOI,"Applied Optoelectronics, Inc.",2.68,880664004.7,2013,Technology,Semiconductors
AREX,Approach Resources Inc.,34.01,253601062.2,2007,Energy,Oil & Gas Production
APTI,"Apptio, Inc.",0.2601,1485384233,2016,Technology,Computer Software: Prepackaged Software
APRI,"Apricus Biosciences, Inc.",5.09,6097024.908,n/a,Health Care,Major Pharmaceuticals
APVO,Aptevo Therapeutics Inc.,3.77,114963411.9,n/a,Health Care,Major Pharmaceuticals
APTO,"Aptose Biosciences, Inc.",3.02,117129858.6,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AQMS,"Aqua Metals, Inc.",3,86656514.2,2015,Basic Industries,Metal Fabrications
AQB,"AquaBounty Technologies, Inc.",14.46,38480460,n/a,n/a,n/a
AQXP,"Aquinox Pharmaceuticals, Inc.",1.53,339928600.9,2014,Health Care,Major Pharmaceuticals
ARDM,Aradigm Corporation,0.4,23273552.16,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ARLZ,Aralez Pharmaceuticals Inc.,5.06,26789096.8,n/a,Health Care,Major Pharmaceuticals
PETX,"Aratana Therapeutics, Inc.",5.9,237035229.4,2013,Health Care,Major Pharmaceuticals
ABUS,Arbutus Biopharma Corporation,2.35,325491182.3,n/a,Health Care,Major Pharmaceuticals
ARCW,"ARC Group Worldwide, Inc.",0.5376,54769243.35,n/a,Capital Goods,Metal Fabrications
ABIO,"ARCA biopharma, Inc.",10.3,7485448.32,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
RKDA,"Arcadia Biosciences, Inc.",48.4,34834795.7,2015,Basic Industries,Agricultural Chemicals
ARCB,ArcBest Corporation,81.64,1241049132,n/a,Transportation,Trucking Freight/Courier Services
ACGL,Arch Capital Group Ltd.,24.89,11084724148,n/a,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd.,24.4,0,n/a,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd.,3,0,n/a,Finance,Property-Casualty Insurers
FUV,"Arcimoto, Inc.",7.25,47757645,2017,Consumer Non-Durables,Motor Vehicles
ARCT,Arcturus Therapeutics Ltd.,3.8,74852153.75,2013,n/a,n/a
ARDX,"Ardelyx, Inc.",47.76,228393558.4,2014,Health Care,Major Pharmaceuticals
ARNA,"Arena Pharmaceuticals, Inc.",17.07,2351420329,2000,Health Care,Major Pharmaceuticals
ARCC,Ares Capital Corporation,98.18,7276910274,2004,n/a,n/a
ARGX,argenx SE,26.19,1704703464,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARKR,Ark Restaurants Corp.,49.99,90307860.39,n/a,Consumer Services,Restaurants
ARMO,"ARMO BioSciences, Inc.",3.7,1519951399,2018,Health Care,Major Pharmaceuticals
ARTX,Arotech Corporation,5.78,98045789.4,1994,Miscellaneous,Industrial Machinery/Components
ARQL,"ArQule, Inc.",17.77,503584390.1,1996,Health Care,Major Pharmaceuticals
ARRY,Array BioPharma Inc.,26.35,3743021160,2000,Health Care,Major Pharmaceuticals
ARRS,ARRIS International plc,29.67,4908032079,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
DWCR,Arrow DWA Country Rotation ETF,11.9101,14835000,n/a,n/a,n/a
DWAT,Arrow DWA Tactical ETF,37.85,7146060,n/a,n/a,n/a
AROW,Arrow Financial Corporation,10.37,528740692.4,n/a,Finance,Major Banks
ARWR,"Arrowhead Pharmaceuticals, Inc.",17.7,908175439.6,n/a,Health Care,Major Pharmaceuticals
ASNS,"Arsanis, Inc.",38.79,253011251.7,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARTNA,Artesian Resources Corporation,2.75,358045431.7,n/a,Public Utilities,Water Supply
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",3.96,11551281.5,n/a,Capital Goods,Industrial Machinery/Components
ASNA,"Ascena Retail Group, Inc.",67.5,776930457.6,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
ASND,Ascendis Pharma A/S,2.29,2544074393,2015,Health Care,Major Pharmaceuticals
ASCMA,"Ascent Capital Group, Inc.",2.55,28392970.33,n/a,Consumer Services,Other Consumer Services
APWC,Asia Pacific Wire & Cable Corporation Limited,10.24,35240155.95,n/a,Basic Industries,Telecommunications Equipment
ASLN,ASLAN Pharmaceuticals Limited,207.56,76800000,2018,Health Care,Major Pharmaceuticals
ASML,ASML Holding N.V.,7.3,15340658518,1995,Technology,Industrial Machinery/Components
ASPU,Aspen Group Inc.,95.48,133971571,n/a,Consumer Services,Other Consumer Services
AZPN,"Aspen Technology, Inc.",42.17,6819529052,1994,Technology,EDP Services
ASMB,"Assembly Biosciences, Inc.",4.05,866623778.1,n/a,Health Care,Major Pharmaceuticals
ASFI,"Asta Funding, Inc.",60.2,26826450.75,1995,Finance,Finance Companies
ASTE,"Astec Industries, Inc.",35.56,1389866958,1986,Capital Goods,Construction/Ag Equipment/Trucks
ATRO,Astronics Corporation,18.3856,998941883.2,n/a,Capital Goods,Military/Government/Technical
ALOT,"AstroNova, Inc.",1.71,125166259.9,1983,Technology,Computer peripheral equipment
ASTC,Astrotech Corporation,17.95,7033346.28,n/a,Capital Goods,Military/Government/Technical
ASUR,Asure Software Inc,6.07,225919310.3,n/a,Technology,EDP Services
ASV,"ASV Holdings, Inc.",5.2773,59620857.19,2017,Capital Goods,Construction/Ag Equipment/Trucks
ATAI,ATA Inc.,42.3,55739966.66,2008,Consumer Services,Other Consumer Services
ATRA,"Atara Biotherapeutics, Inc.",158.54,1859063258,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATHN,"athenahealth, Inc.",16.37,6406557167,2007,Miscellaneous,Business Services
ATNX,"Athenex, Inc.",2.73,1039795046,2017,Health Care,Major Pharmaceuticals
ATHX,"Athersys, Inc.",10.05,376626827.9,n/a,Health Care,Major Pharmaceuticals
ATAC,Atlantic Acquisition Corp.,0.5401,20064322.5,2017,Consumer Non-Durables,Food Distributors
ATACR,Atlantic Acquisition Corp.,10.7,0,2017,Consumer Non-Durables,Food Distributors
ATACU,Atlantic Acquisition Corp.,2.75,0,2017,Consumer Non-Durables,Food Distributors
AAME,Atlantic American Corporation,21.3,55727311.75,n/a,Finance,Life Insurance
ACBI,"Atlantic Capital Bancshares, Inc.",19.78,554592764.7,n/a,Finance,Major Banks
AY,Atlantica Yield plc,2.13,1982297403,2014,Public Utilities,Electric Utilities: Central
ATLC,Atlanticus Holdings Corporation,71,32695335.99,1995,Finance,Finance: Consumer Services
AAWW,Atlas Air Worldwide Holdings,11.8,1814887658,n/a,Transportation,Transportation Services
AFH,"Atlas Financial Holdings, Inc.",24.85,140856246,2013,Finance,Property-Casualty Insurers
AFHBL,"Atlas Financial Holdings, Inc.",63.78,0,n/a,Finance,Property-Casualty Insurers
TEAM,Atlassian Corporation Plc,56.2,14925370889,2015,Technology,Computer Software: Prepackaged Software
ATNI,"ATN International, Inc.",5.63,898301980.2,n/a,Public Utilities,Telecommunications Equipment
ATOM,Atomera Incorporated,2.75,69592818.47,2016,Technology,Semiconductors
ATOS,Atossa Genetics Inc.,24.33,7292868,2012,Health Care,Major Pharmaceuticals
ATRC,"AtriCure, Inc.",569.6,852524392.2,2005,Health Care,Medical/Dental Instruments
ATRI,Atrion Corporation,0.4556,1054809203,n/a,Health Care,Medical/Dental Instruments
ATIS,Attis Industries Inc.,0.0908,8103437.369,n/a,Basic Industries,Miscellaneous
ATISW,Attis Industries Inc.,11.68,0,n/a,Basic Industries,Miscellaneous
ATTU,Attunity Ltd.,0.8999,242210823,n/a,Technology,Computer Software: Prepackaged Software
LIFE,"aTyr Pharma, Inc.",45.35,26842867.83,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUBN,"Auburn National Bancorporation, Inc.",38.31,165241704.3,n/a,Finance,Major Banks
BOLD,"Audentes Therapeutics, Inc.",7.42,1407648121,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUDC,AudioCodes Ltd.,5.58,214380695.3,1999,Public Utilities,Telecommunications Equipment
AUPH,Aurinia Pharmaceuticals Inc,1.19,469836351.5,n/a,Health Care,Major Pharmaceuticals
EARS,Auris Medical Holding AG,134.14,7279691.72,2014,Health Care,Major Pharmaceuticals
ADSK,"Autodesk, Inc.",134.58,29391271065,n/a,Technology,Computer Software: Prepackaged Software
ADP,"Automatic Data Processing, Inc.",3.72,59285494364,n/a,Technology,EDP Services
AUTO,"AutoWeb, Inc.",7.19,47936757,n/a,Technology,"Computer Software: Programming, Data Processing"
AVDL,Avadel Pharmaceuticals plc,4.29,296288884.9,n/a,Health Care,Major Pharmaceuticals
ATXI,"Avenue Therapeutics, Inc.",2.22,45272563.05,2017,Health Care,Major Pharmaceuticals
AVEO,"AVEO Pharmaceuticals, Inc.",17.31,263885785.6,2010,Health Care,Major Pharmaceuticals
AVNW,"Aviat Networks, Inc.",3.31,92596538.79,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
CDMO,"Avid Bioservices, Inc.",25.5925,183877891.2,n/a,Health Care,Major Pharmaceuticals
CDMOP,"Avid Bioservices, Inc.",4.89,17914750,n/a,Health Care,Major Pharmaceuticals
AVID,"Avid Technology, Inc.",1.58,202944432.8,1993,Technology,Computer Software: Prepackaged Software
AVGR,"Avinger, Inc.",38.85,8789337.76,2015,Health Care,Medical/Dental Instruments
